"","fip","link_fip","file"
"166","C3798","http://www.bls.gov/cew/data/api/2012/2/area/C3798.csv","downloads/_C3798_6_.csv"
"167","C3798","http://www.bls.gov/cew/data/api/2013/2/area/C3798.csv","downloads/_C3798_7_.csv"
"168","C3798","http://www.bls.gov/cew/data/api/2014/2/area/C3798.csv","downloads/_C3798_8_.csv"
"169","C3798","http://www.bls.gov/cew/data/api/2015/2/area/C3798.csv","downloads/_C3798_9_.csv"
"170","C3798","http://www.bls.gov/cew/data/api/2016/2/area/C3798.csv","downloads/_C3798_10_.csv"
"171","C3798","http://www.bls.gov/cew/data/api/2012/3/area/C3798.csv","downloads/_C3798_11_.csv"
"172","C3798","http://www.bls.gov/cew/data/api/2013/3/area/C3798.csv","downloads/_C3798_12_.csv"
"173","C3798","http://www.bls.gov/cew/data/api/2014/3/area/C3798.csv","downloads/_C3798_13_.csv"
"174","C3798","http://www.bls.gov/cew/data/api/2015/3/area/C3798.csv","downloads/_C3798_14_.csv"
"175","C3798","http://www.bls.gov/cew/data/api/2016/3/area/C3798.csv","downloads/_C3798_15_.csv"
